question,generated_sql,expected_sql,score
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT T1.name ,  T1.location FROM station AS T1 JOIN station_capacity AS T2 ON T1.station_id  =  T2.station_id WHERE T2.capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0
What is the average and the maximum capacity of all stadiums?,"SELECT avg(capacity) ,  max(capacity) FROM stadium","SELECT avg(capacity) ,  max(capacity) FROM stadium",1.0
What is the average and maximum capacities for all stations?,"select avg(capacity) ,  max(capacity) from station<|end_header_id|>","SELECT avg(capacity) ,  max(capacity) FROM stadium",0.0
What is the name and capacity for the stadium with highest average attendance?,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN match AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id ORDER BY avg(T2.attendance) DESC LIMIT 1","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",0.0
What is the name and capacity for the stadium with the highest average attendance?,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN match AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id ORDER BY avg(T2.attendance) DESC LIMIT 1","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",0.0
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,1.0
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,1.0
Show the stadium name and the number of concerts in each stadium.,"SELECT stadium_name ,  count(*) FROM concert_stadium GROUP BY stadium_name ORDER BY count(*) DESC LIMIT 5","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",0.0
"For each stadium, how many concerts play there?","SELECT count(*) ,  stadium FROM concert GROUP BY stadium","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",0.0
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE T2.year  >=  2014 GROUP BY T1.name ORDER BY count(*) DESC LIMIT 1","SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",0.0
What is the name and capacity of the stadium  with the most concerts after 2013?,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE T2.year  >  2013 ORDER BY T2.attendance DESC LIMIT 1","SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",0.0
Which year has most number of concerts?,SELECT YEAR FROM concert ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,0.0
What is the year that had the most concerts?,SELECT YEAR FROM concert ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,0.0
Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),1.0
What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),1.0
Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,1.0
Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,1.0
What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium WHERE id NOT IN (SELECT stadium_id FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,0.0
Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T1.name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.concert_id","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",0.0
"What are the names, themes, and number of singers for each and every concert?","SELECT T1.name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.concert_id","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",0.0
List singer names and number of concerts for each singer.,"SELECT T1.name ,  count(*) FROM singer AS T1 JOIN concert AS T2 ON T1.id  =  T2.singer_id GROUP BY T1.name ORDER BY count(*) DESC LIMIT 10","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",0.0
What are the names of the singers and number of concerts for each person?,"SELECT T1.name ,  count(*) FROM singer AS T1 JOIN concert AS T2 ON T1.id  =  T2.singer_id GROUP BY T1.name ORDER BY count(*) DESC LIMIT 10","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",0.0
List all singer names in concerts in year 2014.,SELECT T1.name FROM singer AS T1 JOIN concert AS T2 ON T1.id  =  T2.singer_id WHERE T2.year  =  2014,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,0.0
What are the names of the singers who performed in a concert in 2014?,SELECT T1.name FROM singer AS T1 JOIN concert AS T2 ON T1.id  =  T2.singer_id WHERE T2.year  =  2014,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,0.0
what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT T1.name ,  T1.nation FROM singer AS T1 JOIN song AS T2 ON T1.id  =  T2.singer_id WHERE T2.title LIKE '% Hey %'","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",0.0
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT T1.name ,  T1.country FROM singer AS T1 JOIN song AS T2 ON T1.id  =  T2.singer_id WHERE T2.title LIKE '% Hey %'","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",0.0
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T1.name ,  T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE YEAR  =  2014 INTERSECT SELECT T1.name ,  T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE YEAR  =  2015","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",0.0
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T1.name ,  T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE T2.year  =  2014 INTERSECT SELECT T1.name ,  T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.id  =  T2.stadium_id WHERE T2.year  =","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",0.0
Find the number of concerts happened in the stadium with the highest capacity.,SELECT count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id ORDER BY T2.capacity DESC LIMIT 1,SELECT count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id ORDER BY T2.Capacity DESC LIMIT 1,0.0
What are the number of concerts that occurred in the stadium with the largest capacity?,SELECT count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id WHERE T2.capacity  =  (SELECT max(capacity) FROM stadium),SELECT count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id ORDER BY T2.Capacity DESC LIMIT 1,0.0
Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,SELECT count(*) FROM pets WHERE weight  >  10,1.0
How many pets have a greater weight than 10?,SELECT count(*) FROM pet WHERE weight  >  10,SELECT count(*) FROM pets WHERE weight  >  10,0.0
Find the weight of the youngest dog.,SELECT weight FROM dog ORDER BY age LIMIT 1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,0.0
How much does the youngest dog weigh?,SELECT weight FROM dog ORDER BY age LIMIT 1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,0.0
Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  pet_type FROM pets GROUP BY pet_type","SELECT max(weight) ,  petType FROM pets GROUP BY petType",0.0
List the maximum weight and type for each type of pet.,"SELECT max(weight) ,  pet_type FROM pets GROUP BY pet_type","SELECT max(weight) ,  petType FROM pets GROUP BY petType",0.0
Find number of pets owned by students who are older than 20.,SELECT count(*) FROM pet AS T1 JOIN student AS T2 ON T1.stuid  =  T2.stuid WHERE T2.age  >  20,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,0.0
How many pets are owned by students that have an age greater than 20?,SELECT count(*) FROM pet AS T1 JOIN student AS T2 ON T1.stu_id  =  T2.stu_id WHERE T2.age  >  20,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,0.0
Find the number of dog pets that are raised by female students (with sex F).,SELECT count(*) FROM pet AS T1 JOIN student AS T2 ON T1.stu_id  =  T2.stu_id WHERE T2.sex  =  'F' AND T1.pet_type  =  'dog',SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',0.0
How many dog pets are raised by female students?,SELECT count(*) FROM pet AS T1 JOIN student AS T2 ON T1.stu_id  =  T2.stu_id WHERE T2.sex  =  'F' AND T1.pet_type  =  'dog',SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',0.0
Find the number of distinct type of pets.,SELECT count(DISTINCT pet_type) FROM pets,SELECT count(DISTINCT pettype) FROM pets,0.0
How many different types of pet are there?,SELECT count(DISTINCT pet_type) FROM pet_type,SELECT count(DISTINCT pettype) FROM pets,0.0
Find the first name of students who have cat or dog pet.,"SELECT DISTINCT T1.fname FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""cat"" OR T2.pettype  =  ""dog""",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',0.0
What are the first names of every student who has a cat or dog as a pet?,"SELECT DISTINCT T1.fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""cat"" OR T2.pettype  =  ""dog""",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',0.0
Find the name of students who have both cat and dog pets.,SELECT T1.name FROM student AS T1 JOIN pet AS T2 ON T1.id  =  T2.student_id WHERE T2.pet_type  =  'cat' INTERSECT SELECT T1.name FROM student AS T1 JOIN pet AS T2 ON T1.id  =  T2.student_id WHERE T2.pet_type  =  'dog',SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',1.0
What are the students' first names who have both cats and dogs as pets?,"SELECT T1.fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pet AS T3 ON T2.petid  =  T3.petid WHERE T3.name  =  ""cat"" INTERSECT SELECT T1.fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2",SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',1.0
Find the major and age of students who do not have a cat pet.,"SELECT major ,  age FROM student WHERE student_id NOT IN (SELECT student_id FROM pet_student AS T1 JOIN pet AS T2 ON T1.pet_id  =  T2.pet_id WHERE T2.pet_type  =  'cat')","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",0.0
"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT T1.major ,  T1.age FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  'cat' EXCEPT SELECT T1.major ,  T1.age FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  'cat'","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",0.0
Find the id of students who do not have a cat pet.,SELECT student_id FROM student_pet WHERE pet_type_code  =  'cat' GROUP BY student_id HAVING count(*)  =  0,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',0.0
What are the ids of the students who do not own cats as pets?,"SELECT student_id FROM owns_pet WHERE pet_type_code != ""cat""",SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',0.0
Find the first name and age of students who have a dog but do not have a cat as a pet.,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""dog"" EXCEPT SELECT T1.fname ,  T1.age FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",0.0
What is the first name of every student who has a dog but does not have a cat?,"SELECT T1.fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""dog"" EXCEPT SELECT T1.fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T2.pettype  =  ""cat""","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",0.0
Find the type and weight of the youngest pet.,"SELECT T1.type ,  T1.weight FROM pet AS T1 JOIN owner AS T2 ON T1.owner_id  =  T2.owner_id ORDER BY T2.birth_year LIMIT 1","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",0.0
"What type of pet is the youngest animal, and how much does it weigh?","SELECT T1.pet_type_code ,  T2.weight FROM pets AS T1 JOIN animal_types AS T2 ON T1.animal_type_code  =  T2.animal_type_code ORDER BY T1.birth_date LIMIT 1","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",0.0
Find the id and weight of all pets whose age is older than 1.,"SELECT pet_id ,  weight FROM pets WHERE age  >  1","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",0.0
What is the id and weight of every pet who is older than 1?,"SELECT pet_id ,  weight FROM pet WHERE age  >  1","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",0.0
Find the average and maximum age for each type of pet.,"SELECT pet_type ,  avg(age) ,  max(age) FROM pet_type_code GROUP BY pet_type_code","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",0.0
What is the average and maximum age for each pet type?,"SELECT pet_type ,  avg(age) ,  max(age) FROM pets GROUP BY pet_type","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",0.0
Find the average weight for each pet type.,"SELECT pet_type ,  avg(weight) FROM pets GROUP BY pet_type","SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",0.0
What is the average weight for each type of pet?,"SELECT avg(weight) ,  pet_type FROM pets GROUP BY pet_type","SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",0.0
Find the first name and age of students who have a pet.,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",1.0
What are the different first names and ages of the students who do have pets?,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",1.0
Find the id of the pet owned by student whose last name is ‘Smith’.,SELECT pet_id FROM owns_pet AS T1 JOIN student AS T2 ON T1.student_id  =  T2.student_id WHERE T2.last_name  =  'Smith',SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',0.0
What is the id of the pet owned by the student whose last name is 'Smith'?,SELECT pet_id FROM owns_pet AS T1 JOIN student AS T2 ON T1.student_id  =  T2.student_id WHERE T2.last_name  =  'Smith',SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',0.0
Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",0.0
"For students who have pets, how many pets does each student have?","SELECT count(*) ,  T1.name FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.name ORDER BY T1.name ASC","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",0.0
Find the first name and gender of student who have more than one pet.,"SELECT T1.fname ,  T1.gender FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",0.0
What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.fname ,  T1.gender FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",0.0
Find the last name of the student who has a cat that is age 3.,SELECT T1.last_name FROM student AS T1 JOIN has_pet AS T2 ON T1.stu_id  =  T2.stu_id JOIN pet AS T3 ON T2.pet_id  =  T3.pet_id WHERE T3.age  =  3,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',0.0
What is the last name of the student who has a cat that is 3 years old?,"SELECT T1.last_name FROM student AS T1 JOIN has_pet AS T2 ON T1.stu_id  =  T2.stu_id JOIN pet AS T3 ON T2.pet_id  =  T3.pet_id WHERE T3.age  =  3 AND T3.pet_type_code  =  ""cat""",SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',0.0
Find the average age of students who do not have any pet.,SELECT avg(age) FROM student WHERE student_id NOT IN (SELECT student_id FROM has_pet),SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid),0.0
What is the average age for all students who do not own any pets?,"SELECT avg(age) FROM student WHERE pet_id  =  ""null""",SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid),0.0
How many continents are there?,SELECT count(*) FROM continent,SELECT count(*) FROM CONTINENTS;,0.0
What is the number of continents?,SELECT count(*) FROM continent,SELECT count(*) FROM CONTINENTS;,0.0
"How many countries does each continent have? List the continent id, continent name and the number of countries.","SELECT continent_id ,  continent_name ,  count(*) FROM continent GROUP BY continent_id","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",0.0
"For each continent, list its id, name, and how many countries it has?","SELECT continent_id ,  continent_name ,  count(*) FROM continent GROUP BY continent_id","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",0.0
How many countries are listed?,SELECT count(*) FROM country_list,SELECT count(*) FROM COUNTRIES;,0.0
How many countries exist?,SELECT count(*) FROM country,SELECT count(*) FROM COUNTRIES;,0.0
"How many models does each car maker produce? List maker full name, id and the number.","SELECT maker_name ,  maker_id ,  count(*) FROM car_makers GROUP BY maker_id","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",0.0
